id,nom,critique
1,Accident,1
2,Panne,0
3,Fuite,0
4,Défectuosité,0
5,Problème technique,0
6,TEST,0
7,NNNC,0
8,INCIDENT,0
9,TEST-INCIDENTV2,0
10,INCIDENTTTT,0
11,DZDV,0
12,EEEF,0
13,EE,0
14,TESTOUI,0
15,TTT,0
16,FFF,0
17,DINE,0
18,EOFPKOFZ,0
19,DDDD,0
20,DEDD,0
21,FFF,0
22,DDD,0
23,CCC,0
24,FF,0
25,GFGFGG,0
26,FFF,0
27,FVEF,0
28,GTTT,0
29,DFBDFB,0
30,FBEBE,0
31,FBEBE,0
32,DFBEB,0
33,RRR,0
34,FFF,0
35,TESTE,0
36,ALPHA,0
37,BETA,0
38,CHARLIE,0
39,BRUNO,0
40,P,0
41,D,0
42,FEF,0
43,DFZEFZF,0
44,TTTTT,0
45,TTZFZFZEF,0
46,"FÉF""HG""'H('""H(",0
47,TEST,0
48,THIERRY,0
49,DINE,0
50,E,0
51,OIUIJ,0
52,NON,0
53,LALALALAL,0
54,TESTMODAL,1
55,MODALREFRESH,1
56,REFRESH2.0,0
57,REFRESHHHHEDHEZUID,0
58,AAAAAA,0
59,TESTREUTN,0
60,RERREER,0
61,TESTZZZZZ,0
62,"DFFDZFZEFGZGZGZ""GZG",0
63,AZXWFD,0
64,TESTETDSQTER,0
65,POIU,0
66,FZFZ,0
67,FEZF,0
68,FFFF,0
69,HHH,0
70,EFZFZ,0
71,"BJN N,K B ",0
72,KLKKKKKKI,0
73,CHECK,0
74,PMO,0
75,XXXXX,0
76,POPPPPPPPPPPPPPPPP,0
77,TUTUTUTUTUT,0
78,MMM,1
79,MOMOMMO,0
80,MOMOMOMOMO_MTIUOMT_M,0
81,ALERT,0
82,ALERT2,0
83,ÇA MARCHE,0
84,"DDDZDZD""""""""",0
85,MAMAMIAM,0
86,TESTDEFOU,1
87,JS,1
