id,plaque,marque,modele,date_achat,date_immat,ct,actif
1,AB123CD,Renault,Clio,2020-01-01,2020-01-01,2025-01-01,1
2,BC-234-DE,Peugeot,208,2021-05-31,2021-05-31,2031-05-22,1
3,CD345EF,Volkswagen,Golf,2019-03-10,2019-03-10,2024-03-10,1
4,DE456FG,Audi,A3,2018-07-01,2018-07-01,2023-07-01,1
5,EF567GH,BMW,X3,2022-02-20,2022-02-20,2027-02-20,1
7,AB999CD,Z,D,2025-10-24,2025-10-31,2025-10-31,0
8,AC-128-SG,CITROEN,C3,2025-10-16,2025-10-31,2025-11-01,0
9,BH-434-,PEUGOT,CCCC,2025-10-19,2025-10-31,2025-11-08,0
10,TT-123-,C,E,2025-10-30,2025-10-30,2025-10-30,0
11,TT-123-OU,T,R,2025-10-30,2025-10-30,2025-10-30,0
